id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
37609,Paratha Junction,Yes,No,3.0,179,BTM,Quick Bites,"Paratha, Kadai Paneer","North Indian, Chinese",300.0,Delivery
37612,Hatti Punjab Di,Yes,No,3.9,237,Koramangala 1st Block,"Takeaway, Delivery","Aloo Paratha, Burgers, Momos, Gulab Jamun, Mutton Roganjosh, Noodles, Butter Chicken","North Indian, Chinese",250.0,Delivery
37613,Ambur Biryani Point,Yes,No,4.2,430,Koramangala 1st Block,Quick Bites,"Ambur Biryani, Mutton Biryani, Raita","Biryani, Kebab",250.0,Delivery
37634,Mysuru Coffee Thindi,Yes,No,4.1,312,Jayanagar,Quick Bites,"Coffee, Masala Dosa, Tea, Badam Milk, Vada, Idli, Raagi Dosa","South Indian, Coffee",200.0,Delivery
37673,Krispy Kreme,Yes,No,4.0,254,Jayanagar,Dessert Parlor,"Coffee, Chocolate Donut, Chocolate Dreamcake, Cookie Crunch, Double Chocolate Cake, Hot Chocolate","Desserts, Beverages",300.0,Delivery
37689,Asha Tiffins,Yes,No,4.3,287,HSR,Quick Bites,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",South Indian,150.0,Delivery
37702,Kedia's Fun Food,Yes,No,4.3,635,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200.0,Delivery
37705,Sardarji Ka Dhaba,Yes,No,4.0,760,Hosur Road,Quick Bites,"Lassi, Punjabi Chicken, Paratha, Kadhai Murgh, Butter Naan, Lemon Chicken, Roti",North Indian,250.0,Delivery
37733,SL Vadapav,Yes,No,4.0,82,Jayanagar,Quick Bites,"Dabeli, Samosa, Tawa Pulav, Cheese Vada Pav",Maharashtrian,100.0,Delivery
37806,Yum In My Tum,Yes,No,4.2,120,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta","Chinese, Continental, Fast Food, Healthy Food",300.0,Delivery
37862,The Bong Palate,Yes,No,3.8,64,BTM,Quick Bites,"Mutton Kosha, Basanti Pulao, Fish Curry, Chicken Biryani","Bengali, North Indian, Chinese",300.0,Delivery
